provincias,denuncias2019
ABANCAY,1117
ACOBAMBA,66
ACOMAYO,35
AIJA,19
ALTO AMAZONAS,494
AMBO,158
ANDAHUAYLAS,640
ANGARAES,8
ANTA,174
ANTABAMBA,37
ANTONIO RAYMONDI,22
AREQUIPA,12878
ASCOPE,1079
ASUNCION,36
ATALAYA,155
AYABACA,165
AYMARAES,57
AZANGARO,78
BAGUA,738
BARRANCA,1490
BELLAVISTA,170
BOLOGNESI,140
BONGARA,136
CAJABAMBA,299
CAJAMARCA,2327
CALCA,182
CALLAO,13529
CAMANA,679
CANAS,24
CANCHIS,409
CANGALLO,82
CANTA,69
CARABAYA,2
CARAVELI,352
CARHUAZ,174
CARLOS FERMIN FITZCARRALD,14
CASMA,703
CASTILLA,132
CASTROVIRREYNA,5
CAYLLOMA,904
CAÑETE,3843
CELENDIN,205
CHACHAPOYAS,564
CHANCHAMAYO,1438
CHEPEN,1036
CHICLAYO,16059
CHINCHA,3698
CHINCHEROS,100
CHOTA,252
CHUCUITO,72
CHUMBIVILCAS,193
CHUPACA,364
CHURCAMPA,7
CONCEPCION,108
CONDESUYOS,21
CONDORCANQUI,63
CONTRALMIRANTE VILLAR,169
CONTUMAZA,93
CORONEL PORTILLO,6781
CORONGO,18
COTABAMBAS,140
CUSCO,5707
CUTERVO,319
DANIEL ALCIDES CARRION,94
DATEM DEL MARAÑON,3
DOS DE MAYO,44
EL COLLAO,44
EL DORADO,22
ESPINAR,426
FERREÑAFE,407
GENERAL SANCHEZ CERRO,25
GRAN CHIMU,48
GRAU,81
HUALGAYOC,296
HUALLAGA,138
HUAMALIES,64
HUAMANGA,2307
HUANCA SANCOS,13
HUANCABAMBA,108
HUANCANE,36
HUANCAVELICA,490
HUANCAYO,5419
HUANTA,228
HUANUCO,2351
HUARAL,507
HUARAZ,1596
HUARI,202
HUARMEY,408
HUAROCHIRI,372
HUAURA,2087
HUAYLAS,476
HUAYTARA,13
ICA,6122
ILO,751
ISLAY,670
JAEN,1779
JAUJA,291
JORGE BASADRE,23
JULCAN,15
JUNIN,81
LA CONVENCION,662
LA MAR,177
LA UNION,5
LAMAS,177
LAMBAYEQUE,2232
LAMPA,61
LAURICOCHA,2
LEONCIO PRADO,776
LIMA,122609
LORETO,146
LUCANAS,109
LUYA,136
MANU,53
MARAÑON,4
MARISCAL CACERES,255
MARISCAL LUZURIAGA,13
MARISCAL NIETO,845
MARISCAL RAMON CASTILLA,53
MAYNAS,2840
MELGAR,79
MOHO,9
MORROPON,729
MOYOBAMBA,1165
NAZCA,574
OCROS,3
OTUZCO,152
OXAPAMPA,459
OYON,112
PACASMAYO,995
PACHITEA,99
PADRE ABAD,434
PAITA,684
PALLASCA,38
PALPA,100
PARINACOCHAS,72
PARURO,21
PASCO,671
PATAZ,175
PAUCAR DEL SARA SARA,24
PAUCARTAMBO,28
PICOTA,127
PISCO,2584
PIURA,11542
POMABAMBA,21
PUERTO INCA,95
PUNO,919
QUISPICANCHI,243
RECUAY,98
REQUENA,54
RIOJA,831
RODRIGUEZ DE MENDOZA,135
SAN ANTONIO DE PUTINA,67
SAN IGNACIO,253
SAN MARCOS,85
SAN MARTIN,2028
SAN MIGUEL,62
SAN PABLO,33
SAN ROMAN,1591
SANCHEZ CARRION,193
SANDIA,49
SANTA,5603
SANTA CRUZ,54
SANTIAGO DE CHUCO,63
SATIPO,1493
SECHURA,298
SIHUAS,39
SUCRE,28
SULLANA,3165
TACNA,3149
TAHUAMANU,5
TALARA,1613
TAMBOPATA,2038
TARATA,33
TARMA,313
TAYACAJA,30
TOCACHE,336
TRUJILLO,13612
TUMBES,2285
UCAYALI,54
URUBAMBA,425
UTCUBAMBA,1490
VICTOR FAJARDO,30
VIRU,665
YAROWILCA,33
YAULI,175
YAUYOS,64
YUNGAY,253
YUNGUYO,30
ZARUMILLA,799
