provincias,denuncias2021
ABANCAY,1024
ACOBAMBA,77
ACOMAYO,28
AIJA,32
ALTO AMAZONAS,526
AMBO,218
ANDAHUAYLAS,618
ANGARAES,73
ANTA,139
ANTABAMBA,52
ANTONIO RAYMONDI,36
AREQUIPA,12877
ASCOPE,931
ASUNCION,16
ATALAYA,253
AYABACA,127
AYMARAES,103
AZANGARO,120
BAGUA,717
BARRANCA,1326
BELLAVISTA,278
BOLIVAR,8
BOLOGNESI,131
BONGARA,142
CAJABAMBA,265
CAJAMARCA,2175
CAJATAMBO,14
CALCA,171
CALLAO,9068
CAMANA,615
CANAS,46
CANCHIS,313
CANDARAVE,6
CANGALLO,99
CANTA,74
CARABAYA,44
CARAVELI,337
CARHUAZ,159
CARLOS FERMIN FITZCARRALD,29
CASMA,623
CASTILLA,139
CASTROVIRREYNA,49
CAYLLOMA,515
CAÑETE,2964
CELENDIN,341
CHACHAPOYAS,474
CHANCHAMAYO,1255
CHEPEN,885
CHICLAYO,14497
CHINCHA,2364
CHINCHEROS,178
CHOTA,338
CHUCUITO,78
CHUMBIVILCAS,319
CHUPACA,474
CHURCAMPA,51
CONCEPCION,294
CONDESUYOS,61
CONDORCANQUI,54
CONTRALMIRANTE VILLAR,126
CONTUMAZA,137
CORONEL PORTILLO,4958
CORONGO,44
COTABAMBAS,213
CUSCO,4104
CUTERVO,284
DANIEL ALCIDES CARRION,158
DATEM DEL MARAÑON,1
DOS DE MAYO,44
EL COLLAO,102
EL DORADO,66
ESPINAR,218
FERREÑAFE,454
GENERAL SANCHEZ CERRO,33
GRAN CHIMU,50
GRAU,98
HUACAYBAMBA,10
HUALGAYOC,289
HUALLAGA,116
HUAMALIES,93
HUAMANGA,2604
HUANCA SANCOS,21
HUANCABAMBA,113
HUANCANE,98
HUANCAVELICA,430
HUANCAYO,4836
HUANTA,466
HUANUCO,2398
HUARAL,461
HUARAZ,966
HUARI,191
HUARMEY,200
HUAROCHIRI,429
HUAURA,2133
HUAYLAS,439
HUAYTARA,43
ICA,4421
ILO,684
ISLAY,522
JAEN,2267
JAUJA,330
JORGE BASADRE,41
JULCAN,13
JUNIN,120
LA CONVENCION,1223
LA MAR,221
LA UNION,13
LAMAS,197
LAMBAYEQUE,2264
LAMPA,47
LAURICOCHA,1
LEONCIO PRADO,1209
LIMA,93940
LORETO,147
LUCANAS,118
LUYA,112
MANU,64
MARAÑON,44
MARISCAL CACERES,218
MARISCAL LUZURIAGA,25
MARISCAL NIETO,870
MARISCAL RAMON CASTILLA,110
MAYNAS,2386
MELGAR,68
MOHO,27
MORROPON,667
MOYOBAMBA,1125
NAZCA,397
OCROS,15
OTUZCO,110
OXAPAMPA,571
OYON,49
PACASMAYO,949
PACHITEA,84
PADRE ABAD,386
PAITA,554
PALLASCA,59
PALPA,118
PARINACOCHAS,76
PARURO,34
PASCO,532
PATAZ,258
PAUCAR DEL SARA SARA,42
PAUCARTAMBO,83
PICOTA,113
PISCO,1827
PIURA,9340
POMABAMBA,33
PUERTO INCA,171
PUNO,1396
PURUS,9
QUISPICANCHI,277
RECUAY,114
REQUENA,28
RIOJA,1121
RODRIGUEZ DE MENDOZA,147
SAN ANTONIO DE PUTINA,78
SAN IGNACIO,331
SAN MARCOS,118
SAN MARTIN,1805
SAN MIGUEL,77
SAN PABLO,58
SAN ROMAN,1541
SANCHEZ CARRION,208
SANDIA,62
SANTA,4625
SANTA CRUZ,59
SANTIAGO DE CHUCO,109
SATIPO,1477
SECHURA,438
SIHUAS,29
SUCRE,53
SULLANA,2404
TACNA,2920
TAHUAMANU,47
TALARA,1144
TAMBOPATA,1554
TARATA,22
TARMA,215
TAYACAJA,189
TOCACHE,494
TRUJILLO,10300
TUMBES,1388
UCAYALI,93
URUBAMBA,481
UTCUBAMBA,1526
VICTOR FAJARDO,45
VILCAS HUAMAN,36
VIRU,1044
YAROWILCA,35
YAULI,146
YAUYOS,64
YUNGAY,163
YUNGUYO,27
ZARUMILLA,405
