provincias,denuncias2022
ABANCAY,1026
ACOBAMBA,65
ACOMAYO,30
AIJA,22
ALTO AMAZONAS,628
AMBO,542
ANDAHUAYLAS,699
ANGARAES,117
ANTA,228
ANTABAMBA,47
ANTONIO RAYMONDI,31
AREQUIPA,18144
ASCOPE,1340
ASUNCION,15
ATALAYA,298
AYABACA,166
AYMARAES,87
AZANGARO,164
BAGUA,682
BARRANCA,1835
BELLAVISTA,343
BOLIVAR,9
BOLOGNESI,154
BONGARA,152
CAJABAMBA,365
CAJAMARCA,2788
CAJATAMBO,13
CALCA,203
CALLAO,11488
CAMANA,978
CANAS,57
CANCHIS,349
CANDARAVE,10
CANGALLO,109
CANTA,78
CARABAYA,68
CARAVELI,530
CARHUAZ,215
CARLOS FERMIN FITZCARRALD,39
CASMA,711
CASTILLA,187
CASTROVIRREYNA,64
CAYLLOMA,770
CAÑETE,4096
CELENDIN,384
CHACHAPOYAS,535
CHANCHAMAYO,1772
CHEPEN,1223
CHICLAYO,21004
CHINCHA,3039
CHINCHEROS,145
CHOTA,371
CHUCUITO,121
CHUMBIVILCAS,339
CHUPACA,616
CHURCAMPA,113
CONCEPCION,350
CONDESUYOS,94
CONDORCANQUI,55
CONTRALMIRANTE VILLAR,233
CONTUMAZA,121
CORONEL PORTILLO,4786
CORONGO,26
COTABAMBAS,205
CUSCO,5497
CUTERVO,326
DANIEL ALCIDES CARRION,113
DATEM DEL MARAÑON,2
DOS DE MAYO,55
EL COLLAO,97
EL DORADO,55
ESPINAR,239
FERREÑAFE,603
GENERAL SANCHEZ CERRO,47
GRAN CHIMU,77
GRAU,88
HUACAYBAMBA,3
HUALGAYOC,289
HUALLAGA,115
HUAMALIES,121
HUAMANGA,3780
HUANCA SANCOS,19
HUANCABAMBA,144
HUANCANE,82
HUANCAVELICA,540
HUANCAYO,6578
HUANTA,472
HUANUCO,3687
HUARAL,661
HUARAZ,1184
HUARI,241
HUARMEY,269
HUAROCHIRI,540
HUAURA,2414
HUAYLAS,544
HUAYTARA,39
ICA,5913
ILO,935
ISLAY,712
JAEN,2952
JAUJA,382
JORGE BASADRE,59
JULCAN,44
JUNIN,119
LA CONVENCION,1257
LA MAR,197
LA UNION,36
LAMAS,217
LAMBAYEQUE,3386
LAMPA,44
LAURICOCHA,13
LEONCIO PRADO,1424
LIMA,126462
LORETO,203
LUCANAS,185
LUYA,164
MANU,138
MARAÑON,69
MARISCAL CACERES,282
MARISCAL LUZURIAGA,34
MARISCAL NIETO,1221
MARISCAL RAMON CASTILLA,104
MAYNAS,3326
MELGAR,85
MOHO,14
MORROPON,807
MOYOBAMBA,1413
NAZCA,636
OCROS,23
OTUZCO,177
OXAPAMPA,728
OYON,76
PACASMAYO,1372
PACHITEA,111
PADRE ABAD,456
PAITA,804
PALLASCA,76
PALPA,129
PARINACOCHAS,101
PARURO,69
PASCO,784
PATAZ,330
PAUCAR DEL SARA SARA,88
PAUCARTAMBO,97
PICOTA,98
PISCO,2209
PIURA,14529
POMABAMBA,121
PUERTO INCA,239
PUNO,1703
PURUS,5
QUISPICANCHI,264
RECUAY,117
REQUENA,57
RIOJA,1405
RODRIGUEZ DE MENDOZA,178
SAN ANTONIO DE PUTINA,95
SAN IGNACIO,402
SAN MARCOS,113
SAN MARTIN,2706
SAN MIGUEL,114
SAN PABLO,31
SAN ROMAN,2285
SANCHEZ CARRION,350
SANDIA,79
SANTA,5947
SANTA CRUZ,65
SANTIAGO DE CHUCO,139
SATIPO,1987
SECHURA,487
SIHUAS,54
SUCRE,74
SULLANA,3614
TACNA,3920
TAHUAMANU,39
TALARA,1655
TAMBOPATA,1654
TARATA,21
TARMA,314
TAYACAJA,217
TOCACHE,578
TRUJILLO,15359
TUMBES,1898
UCAYALI,84
URUBAMBA,496
UTCUBAMBA,1607
VICTOR FAJARDO,34
VILCAS HUAMAN,57
VIRU,1235
YAROWILCA,63
YAULI,248
YAUYOS,73
YUNGAY,217
YUNGUYO,55
ZARUMILLA,702
