provincias,denuncias2023
ABANCAY,1322
ACOBAMBA,132
ACOMAYO,45
AIJA,23
ALTO AMAZONAS,739
AMBO,583
ANDAHUAYLAS,797
ANGARAES,102
ANTA,329
ANTABAMBA,33
ANTONIO RAYMONDI,12
AREQUIPA,25702
ASCOPE,1574
ASUNCION,24
ATALAYA,285
AYABACA,241
AYMARAES,40
AZANGARO,212
BAGUA,689
BARRANCA,2629
BELLAVISTA,292
BOLIVAR,32
BOLOGNESI,207
BONGARA,194
CAJABAMBA,570
CAJAMARCA,4517
CAJATAMBO,9
CALCA,251
CALLAO,15344
CAMANA,1011
CANAS,60
CANCHIS,459
CANDARAVE,8
CANGALLO,91
CANTA,82
CARABAYA,91
CARAVELI,606
CARHUAZ,294
CARLOS FERMIN FITZCARRALD,69
CASMA,705
CASTILLA,224
CASTROVIRREYNA,69
CAYLLOMA,873
CAÑETE,4351
CELENDIN,415
CHACHAPOYAS,672
CHANCHAMAYO,2260
CHEPEN,1244
CHICLAYO,28377
CHINCHA,4362
CHINCHEROS,181
CHOTA,398
CHUCUITO,126
CHUMBIVILCAS,307
CHUPACA,786
CHURCAMPA,109
CONCEPCION,525
CONDESUYOS,128
CONDORCANQUI,58
CONTRALMIRANTE VILLAR,240
CONTUMAZA,120
CORONEL PORTILLO,5793
CORONGO,21
COTABAMBAS,235
CUSCO,8013
CUTERVO,469
DANIEL ALCIDES CARRION,162
DATEM DEL MARAÑON,4
DOS DE MAYO,86
EL COLLAO,114
EL DORADO,77
ESPINAR,214
FERREÑAFE,877
GENERAL SANCHEZ CERRO,70
GRAN CHIMU,76
GRAU,105
HUACAYBAMBA,18
HUALGAYOC,228
HUALLAGA,122
HUAMALIES,126
HUAMANGA,5410
HUANCA SANCOS,24
HUANCABAMBA,153
HUANCANE,116
HUANCAVELICA,552
HUANCAYO,12437
HUANTA,493
HUANUCO,4857
HUARAL,972
HUARAZ,1717
HUARI,313
HUARMEY,295
HUAROCHIRI,1006
HUAURA,2900
HUAYLAS,536
HUAYTARA,34
ICA,8635
ILO,999
ISLAY,798
JAEN,3222
JAUJA,490
JORGE BASADRE,88
JULCAN,53
JUNIN,152
LA CONVENCION,1438
LA MAR,289
LA UNION,43
LAMAS,305
LAMBAYEQUE,3596
LAMPA,55
LAURICOCHA,35
LEONCIO PRADO,1801
LIMA,197025
LORETO,120
LUCANAS,198
LUYA,172
MANU,103
MARAÑON,81
MARISCAL CACERES,291
MARISCAL LUZURIAGA,44
MARISCAL NIETO,1545
MARISCAL RAMON CASTILLA,134
MAYNAS,3529
MELGAR,164
MOHO,19
MORROPON,835
MOYOBAMBA,1563
NAZCA,643
OCROS,14
OTUZCO,241
OXAPAMPA,725
OYON,65
PACASMAYO,1535
PACHITEA,108
PADRE ABAD,420
PAITA,912
PALLASCA,74
PALPA,180
PARINACOCHAS,109
PARURO,95
PASCO,1314
PATAZ,294
PAUCAR DEL SARA SARA,89
PAUCARTAMBO,106
PICOTA,171
PISCO,2247
PIURA,17658
POMABAMBA,148
PUERTO INCA,187
PUNO,2767
PURUS,3
QUISPICANCHI,372
RECUAY,117
REQUENA,33
RIOJA,1486
RODRIGUEZ DE MENDOZA,222
SAN ANTONIO DE PUTINA,151
SAN IGNACIO,311
SAN MARCOS,171
SAN MARTIN,2937
SAN MIGUEL,181
SAN PABLO,32
SAN ROMAN,4671
SANCHEZ CARRION,460
SANDIA,99
SANTA,6386
SANTA CRUZ,76
SANTIAGO DE CHUCO,187
SATIPO,1795
SECHURA,703
SIHUAS,60
SUCRE,86
SULLANA,4197
TACNA,5282
TAHUAMANU,56
TALARA,1916
TAMBOPATA,2287
TARATA,17
TARMA,354
TAYACAJA,278
TOCACHE,678
TRUJILLO,21658
TUMBES,2056
UCAYALI,144
URUBAMBA,621
UTCUBAMBA,1595
VICTOR FAJARDO,50
VILCAS HUAMAN,58
VIRU,1521
YAROWILCA,46
YAULI,278
YAUYOS,73
YUNGAY,263
YUNGUYO,75
ZARUMILLA,666
