DPTO_HECHO_NEW,extor2020
AMAZONAS,16
ANCASH,123
APURIMAC,8
AREQUIPA,59
AYACUCHO,22
CAJAMARCA,29
CUSCO,24
HUANCAVELICA,6
HUANUCO,30
ICA,102
JUNIN,47
LA LIBERTAD,677
LAMBAYEQUE,107
LIMA METROPOLITANA,712
LORETO,17
MADRE DE DIOS,3
MOQUEGUA,6
PASCO,14
PIURA,261
PROV. CONST. DEL CALLAO,114
PUNO,6
REGION LIMA,135
SAN MARTIN,43
TACNA,9
TUMBES,67
UCAYALI,39
