DPTO_HECHO_NEW,extor2019
AMAZONAS,13
ANCASH,187
APURIMAC,5
AREQUIPA,93
AYACUCHO,20
CAJAMARCA,33
CUSCO,22
HUANCAVELICA,2
HUANUCO,42
ICA,123
JUNIN,60
LA LIBERTAD,1225
LAMBAYEQUE,194
LIMA METROPOLITANA,751
LORETO,21
MADRE DE DIOS,22
MOQUEGUA,12
PASCO,19
PIURA,310
PROV. CONST. DEL CALLAO,112
PUNO,8
REGION LIMA,183
SAN MARTIN,37
TACNA,23
TUMBES,107
UCAYALI,75
