DPTO_HECHO_NEW,extor2023
AMAZONAS,158
ANCASH,471
APURIMAC,51
AREQUIPA,471
AYACUCHO,182
CAJAMARCA,293
CUSCO,174
HUANCAVELICA,33
HUANUCO,350
ICA,655
JUNIN,467
LA LIBERTAD,3067
LAMBAYEQUE,716
LIMA METROPOLITANA,9972
LORETO,178
MADRE DE DIOS,74
MOQUEGUA,88
PASCO,85
PIURA,1537
PROV. CONST. DEL CALLAO,643
PUNO,91
REGION LIMA,1174
SAN MARTIN,277
TACNA,129
TUMBES,265
UCAYALI,331
