DPTO_HECHO_NEW,extor2018
AMAZONAS,23
ANCASH,166
APURIMAC,4
AREQUIPA,57
AYACUCHO,20
CAJAMARCA,44
CUSCO,14
HUANCAVELICA,3
HUANUCO,35
ICA,96
JUNIN,37
LA LIBERTAD,968
LAMBAYEQUE,198
LIMA METROPOLITANA,567
LORETO,16
MADRE DE DIOS,13
MOQUEGUA,10
PASCO,10
PIURA,377
PROV. CONST. DEL CALLAO,70
PUNO,5
REGION LIMA,160
SAN MARTIN,33
TACNA,5
TUMBES,115
UCAYALI,21
