DPTO_HECHO_NEW,extor2021
AMAZONAS,30
ANCASH,176
APURIMAC,7
AREQUIPA,88
AYACUCHO,22
CAJAMARCA,70
CUSCO,35
HUANCAVELICA,7
HUANUCO,53
ICA,176
JUNIN,69
LA LIBERTAD,1006
LAMBAYEQUE,192
LIMA METROPOLITANA,1321
LORETO,36
MADRE DE DIOS,26
MOQUEGUA,15
PASCO,23
PIURA,546
PROV. CONST. DEL CALLAO,165
PUNO,14
REGION LIMA,243
SAN MARTIN,42
TACNA,23
TUMBES,72
UCAYALI,40
