provincias,year,total_denuncias
RIOJA,2019,831
RIOJA,2020,767
RIOJA,2021,1121
RIOJA,2022,1405
RIOJA,2023,1486
RIOJA,2024,250
RODRIGUEZ DE MENDOZA,2018,119
RODRIGUEZ DE MENDOZA,2019,135
RODRIGUEZ DE MENDOZA,2020,129
RODRIGUEZ DE MENDOZA,2021,147
RODRIGUEZ DE MENDOZA,2022,178
RODRIGUEZ DE MENDOZA,2023,222
RODRIGUEZ DE MENDOZA,2024,32
SAN ANTONIO DE PUTINA,2018,35
SAN ANTONIO DE PUTINA,2019,67
SAN ANTONIO DE PUTINA,2020,67
SAN ANTONIO DE PUTINA,2021,78
SAN ANTONIO DE PUTINA,2022,95
SAN ANTONIO DE PUTINA,2023,151
SAN ANTONIO DE PUTINA,2024,15
SAN IGNACIO,2018,220
SAN IGNACIO,2019,253
SAN IGNACIO,2020,212
SAN IGNACIO,2021,331
SAN IGNACIO,2022,402
SAN IGNACIO,2023,311
SAN IGNACIO,2024,28
SAN MARCOS,2018,76
SAN MARCOS,2019,85
SAN MARCOS,2020,73
SAN MARCOS,2021,118
SAN MARCOS,2022,113
SAN MARCOS,2023,171
SAN MARCOS,2024,43
SAN MARTIN,2018,1906
SAN MARTIN,2019,2028
SAN MARTIN,2020,1111
SAN MARTIN,2021,1805
SAN MARTIN,2022,2706
SAN MARTIN,2023,2937
SAN MARTIN,2024,498
SAN MIGUEL,2018,47
SAN MIGUEL,2019,62
SAN MIGUEL,2020,52
SAN MIGUEL,2021,77
SAN MIGUEL,2022,114
SAN MIGUEL,2023,181
SAN MIGUEL,2024,18
SAN PABLO,2018,44
SAN PABLO,2019,33
SAN PABLO,2020,33
SAN PABLO,2021,58
SAN PABLO,2022,31
SAN PABLO,2023,32
SAN PABLO,2024,13
SAN ROMAN,2018,1225
SAN ROMAN,2019,1591
SAN ROMAN,2020,952
SAN ROMAN,2021,1541
SAN ROMAN,2022,2285
SAN ROMAN,2023,4671
SAN ROMAN,2024,787
SANCHEZ CARRION,2018,139
SANCHEZ CARRION,2019,193
SANCHEZ CARRION,2020,121
SANCHEZ CARRION,2021,208
SANCHEZ CARRION,2022,350
SANCHEZ CARRION,2023,460
SANCHEZ CARRION,2024,63
SANDIA,2018,7
SANDIA,2019,49
SANDIA,2020,44
SANDIA,2021,62
SANDIA,2022,79
SANDIA,2023,99
SANDIA,2024,14
SANTA,2018,4532
SANTA,2019,5603
SANTA,2020,3583
SANTA,2021,4625
SANTA,2022,5947
SANTA,2023,6386
SANTA,2024,902
SANTA CRUZ,2018,41
SANTA CRUZ,2019,54
SANTA CRUZ,2020,32
SANTA CRUZ,2021,59
SANTA CRUZ,2022,65
SANTA CRUZ,2023,76
SANTA CRUZ,2024,17
SANTIAGO DE CHUCO,2018,20
SANTIAGO DE CHUCO,2019,63
SANTIAGO DE CHUCO,2020,65
SANTIAGO DE CHUCO,2021,109
SANTIAGO DE CHUCO,2022,139
SANTIAGO DE CHUCO,2023,187
SANTIAGO DE CHUCO,2024,29
SATIPO,2018,1155
SATIPO,2019,1493
SATIPO,2020,1193
SATIPO,2021,1477
SATIPO,2022,1987
SATIPO,2023,1795
SATIPO,2024,286
SECHURA,2018,284
SECHURA,2019,298
SECHURA,2020,240
SECHURA,2021,438
SECHURA,2022,487
SECHURA,2023,703
SECHURA,2024,68
SIHUAS,2018,29
SIHUAS,2019,39
SIHUAS,2020,25
SIHUAS,2021,29
SIHUAS,2022,54
SIHUAS,2023,60
SIHUAS,2024,5
SUCRE,2018,25
SUCRE,2019,28
SUCRE,2020,31
SUCRE,2021,53
SUCRE,2022,74
SUCRE,2023,86
SUCRE,2024,5
SULLANA,2018,3027
SULLANA,2019,3165
SULLANA,2020,1590
SULLANA,2021,2404
SULLANA,2022,3614
SULLANA,2023,4197
SULLANA,2024,793
TACNA,2018,2408
TACNA,2019,3149
TACNA,2020,2061
TACNA,2021,2920
TACNA,2022,3920
TACNA,2023,5282
TACNA,2024,832
TAHUAMANU,2018,30
TAHUAMANU,2019,5
TAHUAMANU,2020,22
TAHUAMANU,2021,47
TAHUAMANU,2022,39
TAHUAMANU,2023,56
TAHUAMANU,2024,14
TALARA,2018,1645
TALARA,2019,1613
TALARA,2020,898
TALARA,2021,1144
TALARA,2022,1655
TALARA,2023,1916
TALARA,2024,253
TAMBOPATA,2018,1918
TAMBOPATA,2019,2038
TAMBOPATA,2020,1280
TAMBOPATA,2021,1554
TAMBOPATA,2022,1654
TAMBOPATA,2023,2287
TAMBOPATA,2024,308
TARATA,2018,23
TARATA,2019,33
TARATA,2020,28
TARATA,2021,22
TARATA,2022,21
TARATA,2023,17
TARATA,2024,1
TARMA,2018,359
TARMA,2019,313
TARMA,2020,166
TARMA,2021,215
TARMA,2022,314
TARMA,2023,354
TARMA,2024,61
TAYACAJA,2018,10
TAYACAJA,2019,30
TAYACAJA,2020,129
TAYACAJA,2021,189
TAYACAJA,2022,217
TAYACAJA,2023,278
TAYACAJA,2024,33
TOCACHE,2018,330
TOCACHE,2019,336
TOCACHE,2020,310
TOCACHE,2021,494
TOCACHE,2022,578
TOCACHE,2023,678
TOCACHE,2024,80
TRUJILLO,2018,11559
TRUJILLO,2019,13612
TRUJILLO,2020,7837
TRUJILLO,2021,10300
TRUJILLO,2022,15359
TRUJILLO,2023,21658
TRUJILLO,2024,4147
TUMBES,2018,2388
TUMBES,2019,2285
TUMBES,2020,1375
TUMBES,2021,1388
TUMBES,2022,1898
TUMBES,2023,2056
TUMBES,2024,289
UCAYALI,2018,14
UCAYALI,2019,54
UCAYALI,2020,62
UCAYALI,2021,93
UCAYALI,2022,84
UCAYALI,2023,144
UCAYALI,2024,24
URUBAMBA,2018,290
URUBAMBA,2019,425
URUBAMBA,2020,370
URUBAMBA,2021,481
URUBAMBA,2022,496
URUBAMBA,2023,621
URUBAMBA,2024,98
UTCUBAMBA,2018,1418
UTCUBAMBA,2019,1490
UTCUBAMBA,2020,1412
UTCUBAMBA,2021,1526
UTCUBAMBA,2022,1607
UTCUBAMBA,2023,1595
UTCUBAMBA,2024,288
VICTOR FAJARDO,2018,24
VICTOR FAJARDO,2019,30
VICTOR FAJARDO,2020,30
VICTOR FAJARDO,2021,45
VICTOR FAJARDO,2022,34
VICTOR FAJARDO,2023,50
VICTOR FAJARDO,2024,12
VILCAS HUAMAN,2020,15
VILCAS HUAMAN,2021,36
VILCAS HUAMAN,2022,57
VILCAS HUAMAN,2023,58
VILCAS HUAMAN,2024,5
VIRU,2018,635
VIRU,2019,665
VIRU,2020,434
VIRU,2021,1044
VIRU,2022,1235
VIRU,2023,1521
VIRU,2024,231
YAROWILCA,2018,5
YAROWILCA,2019,33
YAROWILCA,2020,44
YAROWILCA,2021,35
YAROWILCA,2022,63
YAROWILCA,2023,46
YAROWILCA,2024,10
YAULI,2018,138
YAULI,2019,175
YAULI,2020,114
YAULI,2021,146
YAULI,2022,248
YAULI,2023,278
YAULI,2024,35
YAUYOS,2018,50
YAUYOS,2019,64
YAUYOS,2020,41
YAUYOS,2021,64
YAUYOS,2022,73
YAUYOS,2023,73
YAUYOS,2024,10
YUNGAY,2018,192
YUNGAY,2019,253
YUNGAY,2020,131
YUNGAY,2021,163
YUNGAY,2022,217
YUNGAY,2023,263
YUNGAY,2024,47
YUNGUYO,2018,26
YUNGUYO,2019,30
YUNGUYO,2020,31
YUNGUYO,2021,27
YUNGUYO,2022,55
YUNGUYO,2023,75
YUNGUYO,2024,13
ZARUMILLA,2018,989
ZARUMILLA,2019,799
ZARUMILLA,2020,333
ZARUMILLA,2021,405
ZARUMILLA,2022,702
ZARUMILLA,2023,666
ZARUMILLA,2024,72
