provincias,year,total_denuncias
CARHUAZ,2019,174
CARHUAZ,2020,113
CARHUAZ,2021,159
CARHUAZ,2022,215
CARHUAZ,2023,294
CARHUAZ,2024,50
CARLOS FERMIN FITZCARRALD,2018,10
CARLOS FERMIN FITZCARRALD,2019,14
CARLOS FERMIN FITZCARRALD,2020,17
CARLOS FERMIN FITZCARRALD,2021,29
CARLOS FERMIN FITZCARRALD,2022,39
CARLOS FERMIN FITZCARRALD,2023,69
CARLOS FERMIN FITZCARRALD,2024,12
CASMA,2018,403
CASMA,2019,703
CASMA,2020,515
CASMA,2021,623
CASMA,2022,711
CASMA,2023,705
CASMA,2024,75
CASTILLA,2018,154
CASTILLA,2019,132
CASTILLA,2020,122
CASTILLA,2021,139
CASTILLA,2022,187
CASTILLA,2023,224
CASTILLA,2024,28
CASTROVIRREYNA,2018,2
CASTROVIRREYNA,2019,5
CASTROVIRREYNA,2020,28
CASTROVIRREYNA,2021,49
CASTROVIRREYNA,2022,64
CASTROVIRREYNA,2023,69
CASTROVIRREYNA,2024,18
CAYLLOMA,2018,837
CAYLLOMA,2019,904
CAYLLOMA,2020,464
CAYLLOMA,2021,515
CAYLLOMA,2022,770
CAYLLOMA,2023,873
CAYLLOMA,2024,94
CAÑETE,2018,3618
CAÑETE,2019,3843
CAÑETE,2020,2672
CAÑETE,2021,2964
CAÑETE,2022,4096
CAÑETE,2023,4351
CAÑETE,2024,772
CELENDIN,2018,218
CELENDIN,2019,205
CELENDIN,2020,201
CELENDIN,2021,341
CELENDIN,2022,384
CELENDIN,2023,415
CELENDIN,2024,64
CHACHAPOYAS,2018,584
CHACHAPOYAS,2019,564
CHACHAPOYAS,2020,406
CHACHAPOYAS,2021,474
CHACHAPOYAS,2022,535
CHACHAPOYAS,2023,672
CHACHAPOYAS,2024,89
CHANCHAMAYO,2018,1371
CHANCHAMAYO,2019,1438
CHANCHAMAYO,2020,967
CHANCHAMAYO,2021,1255
CHANCHAMAYO,2022,1772
CHANCHAMAYO,2023,2260
CHANCHAMAYO,2024,313
CHEPEN,2018,850
CHEPEN,2019,1036
CHEPEN,2020,696
CHEPEN,2021,885
CHEPEN,2022,1223
CHEPEN,2023,1244
CHEPEN,2024,204
CHICLAYO,2018,17833
CHICLAYO,2019,16059
CHICLAYO,2020,10176
CHICLAYO,2021,14497
CHICLAYO,2022,21004
CHICLAYO,2023,28377
CHICLAYO,2024,4086
CHINCHA,2018,3149
CHINCHA,2019,3698
CHINCHA,2020,2328
CHINCHA,2021,2364
CHINCHA,2022,3039
CHINCHA,2023,4362
CHINCHA,2024,544
CHINCHEROS,2018,159
CHINCHEROS,2019,100
CHINCHEROS,2020,153
CHINCHEROS,2021,178
CHINCHEROS,2022,145
CHINCHEROS,2023,181
CHINCHEROS,2024,27
CHOTA,2018,221
CHOTA,2019,252
CHOTA,2020,213
CHOTA,2021,338
CHOTA,2022,371
CHOTA,2023,398
CHOTA,2024,56
CHUCUITO,2018,35
CHUCUITO,2019,72
CHUCUITO,2020,61
CHUCUITO,2021,78
CHUCUITO,2022,121
CHUCUITO,2023,126
CHUCUITO,2024,33
CHUMBIVILCAS,2018,108
CHUMBIVILCAS,2019,193
CHUMBIVILCAS,2020,259
CHUMBIVILCAS,2021,319
CHUMBIVILCAS,2022,339
CHUMBIVILCAS,2023,307
CHUMBIVILCAS,2024,28
CHUPACA,2018,309
CHUPACA,2019,364
CHUPACA,2020,276
CHUPACA,2021,474
CHUPACA,2022,616
CHUPACA,2023,786
CHUPACA,2024,144
CHURCAMPA,2018,2
CHURCAMPA,2019,7
CHURCAMPA,2020,44
CHURCAMPA,2021,51
CHURCAMPA,2022,113
CHURCAMPA,2023,109
CHURCAMPA,2024,20
CONCEPCION,2018,85
CONCEPCION,2019,108
CONCEPCION,2020,101
CONCEPCION,2021,294
CONCEPCION,2022,350
CONCEPCION,2023,525
CONCEPCION,2024,122
CONDESUYOS,2018,10
CONDESUYOS,2019,21
CONDESUYOS,2020,18
CONDESUYOS,2021,61
CONDESUYOS,2022,94
CONDESUYOS,2023,128
CONDESUYOS,2024,20
CONDORCANQUI,2018,59
CONDORCANQUI,2019,63
CONDORCANQUI,2020,54
CONDORCANQUI,2021,54
CONDORCANQUI,2022,55
CONDORCANQUI,2023,58
CONDORCANQUI,2024,7
CONTRALMIRANTE VILLAR,2018,212
CONTRALMIRANTE VILLAR,2019,169
CONTRALMIRANTE VILLAR,2020,66
CONTRALMIRANTE VILLAR,2021,126
CONTRALMIRANTE VILLAR,2022,233
CONTRALMIRANTE VILLAR,2023,240
CONTRALMIRANTE VILLAR,2024,24
CONTUMAZA,2018,130
CONTUMAZA,2019,93
CONTUMAZA,2020,125
CONTUMAZA,2021,137
CONTUMAZA,2022,121
CONTUMAZA,2023,120
CONTUMAZA,2024,21
CORONEL PORTILLO,2018,3453
CORONEL PORTILLO,2019,6781
CORONEL PORTILLO,2020,4221
CORONEL PORTILLO,2021,4958
CORONEL PORTILLO,2022,4786
CORONEL PORTILLO,2023,5793
CORONEL PORTILLO,2024,859
CORONGO,2018,13
CORONGO,2019,18
CORONGO,2020,23
CORONGO,2021,44
CORONGO,2022,26
CORONGO,2023,21
CORONGO,2024,1
COTABAMBAS,2018,123
COTABAMBAS,2019,140
COTABAMBAS,2020,143
COTABAMBAS,2021,213
COTABAMBAS,2022,205
COTABAMBAS,2023,235
COTABAMBAS,2024,19
CUSCO,2018,4794
CUSCO,2019,5707
CUSCO,2020,3420
CUSCO,2021,4104
CUSCO,2022,5497
CUSCO,2023,8013
CUSCO,2024,1241
CUTERVO,2018,220
CUTERVO,2019,319
CUTERVO,2020,210
CUTERVO,2021,284
CUTERVO,2022,326
CUTERVO,2023,469
CUTERVO,2024,89
DANIEL ALCIDES CARRION,2018,133
DANIEL ALCIDES CARRION,2019,94
DANIEL ALCIDES CARRION,2020,126
DANIEL ALCIDES CARRION,2021,158
