año_hecho,departamen,provincia,distrito,denuncias_dep,geom
2021,JUNIN,HUANCAYO,EL TAMBO,14,-75.231438285|-75.231706506|-75.2301399|-75.2355936|-75.2302903|-75.212796|-75.2148203|-75.2173617|-75.2164714|-75.2220558|-75.2204305|-75.2170214|-75.1998318999999|-75.2229429|-12.052030277|-12.0528906489999|-12.0550352|-12.0440055|-12.0411177|-12.0503110999999|-12.0589585|-12.0573099|-12.0526073999999|-12.0668532|-12.0667177999999|-12.0631592|-12.0323256999999|-12.034255
2021,JUNIN,HUANCAYO,HUANCAYO,4,-75.2024417|-75.2102975999999|-75.1929721|-12.0612328|-12.0686357|-12.048664
2021,JUNIN,HUANCAYO,PILCOMAYO,2,-75.2535192|-75.247167729|-12.0442537|-12.048240881
2021,JUNIN,JAUJA,JAUJA,4,-75.5010758|-75.4869032999999|-75.4927972|-11.7753162|-11.7806236|-11.7790112
2021,JUNIN,TARMA,TARMA,1,-75.689263594|-11.4197156339999
2021,LA LIBERTAD,TRUJILLO,EL PORVENIR,1,-79.0014447|-8.08447749999993
2021,LAMBAYEQUE,CHICLAYO,CHICLAYO,3,-79.8300249|-79.8514443|-79.8463809|-6.76988209999996|-6.76158739999994|-6.77844929999998
2021,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,1,-79.3887900999999|-6.63764989999993
2021,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,1,-79.8302027|-6.75852359999993
2021,LAMBAYEQUE,CHICLAYO,PIMENTEL,1,-79.8745519999999|-6.77918459999995
2021,LAMBAYEQUE,CHICLAYO,REQUE,2,-79.8156667|-6.86312479999998
2021,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,1,-79.7886392|-6.63604779999997
2021,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,3,-79.9161376|-79.9066693|-6.70135359999995|-6.70290999999997
2021,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,3,-79.7147468|-79.7166353|-6.15120139999993|-6.15441469999996
2021,LIMA,CAÑETE,CALANGO,1,-76.600013395|-12.557097686
2021,LIMA,LIMA,ANCON,4,-77.1348542|-77.1245344|-77.1468866|-77.1439217|-11.8073601999999|-11.8169364|-11.7340437|-11.747313
2021,LIMA,LIMA,ATE,12,-76.8274972|-76.8284213|-76.8911853|-76.8850433|-76.8911755|-76.9876064|-76.8250037999999|-12.0121703999999|-12.0107839999999|-12.0210041|-12.0147737|-12.0297095|-12.0638314|-12.016421
2021,LIMA,LIMA,BARRANCO,3,-77.0221186|-77.0205013|-77.0208448|-12.1411507999999|-12.1485104999999|-12.1498715
2021,LIMA,LIMA,BREÑA,1,-77.0470922|-12.0545362999999
2021,LIMA,LIMA,CHACLACAYO,2,-76.7902792|-76.7682775|-11.9793625|-11.9947642
2021,LIMA,LIMA,CHORRILLOS,11,-77.0238899999999|-77.018393|-77.0134091|-77.0183777|-77.0107050999999|-77.0153071999999|-77.0121846|-77.0136827|-77.0220537|-77.0068311|-77.0021208|-12.1988454|-12.210119|-12.2030953|-12.2080209|-12.1872013999999|-12.1786111|-12.1745511|-12.1718964|-12.1667897|-12.1709385|-12.180552
2021,LIMA,LIMA,COMAS,19,-77.0636340999999|-77.0583096999999|-77.0597725|-77.0532107|-77.0413923|-77.041435215|-77.044010136|-77.0406146999999|-77.0432991|-77.0489896999999|-77.0631371|-77.0666808|-77.0624617999999|-11.9546837|-11.9645249|-11.9764099|-11.9611305999999|-11.9578442|-11.9488594549999|-11.9407141469999|-11.9391664|-11.924367|-11.9274219|-11.9236842|-11.9441439999999|-11.9421444
2021,LIMA,LIMA,EL AGUSTINO,6,-76.9874768|-77.0044646|-77.0008230999999|-77.0047633999999|-77.0056564|-12.0422336|-12.058756|-12.0546247|-12.0532597|-12.059746
2021,LIMA,LIMA,LA MOLINA,9,-76.902744|-76.8975402|-76.9725984|-76.9365868|-76.9419144|-76.9615948|-76.963437|-76.9334449|-12.0811940999999|-12.0823487|-12.0751410999999|-12.0739927999999|-12.0709117|-12.0672653999999|-12.0708097999999|-12.113056
2021,LIMA,LIMA,LA VICTORIA,7,-76.999986|-77.0111077999999|-77.01382|-77.0131531|-77.0165519|-12.0690003|-12.0747919|-12.0700529|-12.0662793999999|-12.0613949
2021,LIMA,LIMA,LIMA,3,-77.0217833|-77.0347943|-77.0653307|-12.0542955|-12.0583948999999|-12.0355415
